GCKDGN101A00AO 	 0.383276 	 other biological processes 
GCKDGN101A0QJB 	 0.251468 	 cell organization and biogenesis
GCKDGN101A0QJB 	 0.251468 	 other biological processes 
GCKDGN101A0RO1 	 1.00086 	 other metabolic processes 
GCKDGN101A0S0M 	 0.254499 	 cell organization and biogenesis
GCKDGN101A0S0M 	 0.254499 	 other metabolic processes 
GCKDGN101A0S0M 	 0.254499 	 transport   
GCKDGN101A0S2C 	 0.760731 	 other metabolic processes 
GCKDGN101A0S2C 	 0.760731 	 stress response  
GCKDGN101A0S84 	 0.466278 	 developmental processes  
GCKDGN101A0SI8 	 1.39103 	 DNA metabolism  
GCKDGN101A0SI8 	 1.39103 	 other metabolic processes 
GCKDGN101A0SI8 	 1.39103 	 stress response  
GCKDGN101A0UWI 	 1.16175 	 other biological processes 
GCKDGN101A0UWI 	 1.16175 	 other metabolic processes 
GCKDGN101A0UWI 	 1.16175 	 protein metabolism  
GCKDGN101A0UWI 	 1.16175 	 stress response  
GCKDGN101A0ZFB 	 0.492695 	 RNA metabolism  
GCKDGN101A0ZFB 	 0.492695 	 cell cycle and proliferation
GCKDGN101A0ZFB 	 0.492695 	 cell organization and biogenesis
GCKDGN101A0ZFB 	 0.492695 	 other biological processes 
GCKDGN101A0ZFB 	 0.492695 	 protein metabolism  
GCKDGN101A0ZFB 	 0.492695 	 signal transduction  
GCKDGN101A10C1 	 0.322226 	 other metabolic processes 
GCKDGN101A10C1 	 0.322226 	 transport   
GCKDGN101A12VJ 	 0.18456 	 other biological processes 
GCKDGN101A13AQ 	 0.830926 	 other metabolic processes 
GCKDGN101A13V9 	 0.147354 	 DNA metabolism  
GCKDGN101A13V9 	 0.147354 	 RNA metabolism  
GCKDGN101A13V9 	 0.147354 	 cell cycle and proliferation
GCKDGN101A13V9 	 0.147354 	 cell organization and biogenesis
GCKDGN101A13V9 	 0.147354 	 protein metabolism  
GCKDGN101A13V9 	 0.147354 	 stress response  
GCKDGN101A14KT 	 0.197772 	 other metabolic processes 
GCKDGN101A14VE 	 0.764957 	 protein metabolism  
GCKDGN101A15QU 	 0.712784 	 protein metabolism  
GCKDGN101A15QU 	 0.712784 	 signal transduction  
GCKDGN101A17ZT 	 0.472153 	 DNA metabolism  
GCKDGN101A17ZT 	 0.472153 	 RNA metabolism  
GCKDGN101A17ZT 	 0.472153 	 cell cycle and proliferation
GCKDGN101A17ZT 	 0.472153 	 death   
GCKDGN101A17ZT 	 0.472153 	 developmental processes  
GCKDGN101A17ZT 	 0.472153 	 other biological processes 
GCKDGN101A17ZT 	 0.472153 	 other metabolic processes 
GCKDGN101A17ZT 	 0.472153 	 protein metabolism  
GCKDGN101A17ZT 	 0.472153 	 stress response  
GCKDGN101A18J6 	 0.450008 	 cell organization and biogenesis
GCKDGN101A18J6 	 0.450008 	 transport   
GCKDGN101A19EE 	 0.850999 	 other metabolic processes 
GCKDGN101A1CPM 	 0.731018 	 other biological processes 
GCKDGN101A1CPM 	 0.731018 	 protein metabolism  
GCKDGN101A1KRI 	 1.12123 	 RNA metabolism  
GCKDGN101A1LTI 	 1.11486 	 RNA metabolism  
GCKDGN101A1LTI 	 1.11486 	 other metabolic processes 
GCKDGN101A1O0W 	 0.802256 	 protein metabolism  
GCKDGN101A1Q78 	 0.858423 	 cell cycle and proliferation
GCKDGN101A1QPN 	 0.438682 	 other metabolic processes 
GCKDGN101A1TLT 	 0.380306 	 other metabolic processes 
GCKDGN101A1TLT 	 0.380306 	 transport   
GCKDGN101A1TOY 	 0.53165 	 cell organization and biogenesis
GCKDGN101A1TOY 	 0.53165 	 other biological processes 
GCKDGN101A1TOY 	 0.53165 	 signal transduction  
GCKDGN101A1V7Z 	 0.234179 	 other metabolic processes 
GCKDGN101A1VC2 	 0.89718 	 other metabolic processes 
GCKDGN101A2042 	 0.631584 	 signal transduction  
GCKDGN101A20KS 	 0.922365 	 protein metabolism  
GCKDGN101A20KS 	 0.922365 	 signal transduction  
GCKDGN101A22GA 	 0.693405 	 RNA metabolism  
GCKDGN101A22GA 	 0.693405 	 other biological processes 
GCKDGN101A22GA 	 0.693405 	 protein metabolism  
GCKDGN101A22GA 	 0.693405 	 transport   
GCKDGN101A23YI 	 0.698875 	 cell adhesion  
GCKDGN101A23YI 	 0.698875 	 cell organization and biogenesis
GCKDGN101A23YI 	 0.698875 	 developmental processes  
GCKDGN101A23YI 	 0.698875 	 other biological processes 
GCKDGN101A23YI 	 0.698875 	 signal transduction  
GCKDGN101A28J5 	 0.698418 	 cell-cell signaling  
GCKDGN101A28J5 	 0.698418 	 signal transduction  
GCKDGN101A28J5 	 0.698418 	 transport   
GCKDGN101A2BO2 	 0.960114 	 other biological processes 
GCKDGN101A2BOP 	 0.563704 	 other biological processes 
GCKDGN101A2BOP 	 0.563704 	 signal transduction  
GCKDGN101A2BOP 	 0.563704 	 transport   
GCKDGN101A2DX5 	 0.985437 	 other metabolic processes 
GCKDGN101A2DZK 	 0.751943 	 other biological processes 
GCKDGN101A2EHS 	 0 	 other biological processes 
GCKDGN101A2EHS 	 0 	 protein metabolism  
GCKDGN101A2FEY 	 0.903357 	 other metabolic processes 
GCKDGN101A2JR9 	 0.657785 	 signal transduction  
GCKDGN101A2JR9 	 0.657785 	 transport   
GCKDGN101A2K37 	 0.690709 	 other metabolic processes 
GCKDGN101A2LIL 	 0.60544 	 DNA metabolism  
GCKDGN101A2LIL 	 0.60544 	 stress response  
GCKDGN101A2NQR 	 0.530398 	 transport   
GCKDGN101A2NZY 	 0.445518 	 transport   
GCKDGN101A2PU8 	 0.64062 	 RNA metabolism  
GCKDGN101A2PU8 	 0.64062 	 other biological processes 
GCKDGN101A2PU8 	 0.64062 	 signal transduction  
GCKDGN101A2QVI 	 1.33103 	 other biological processes 
GCKDGN101A2R04 	 0.694789 	 DNA metabolism  
GCKDGN101A2R04 	 0.694789 	 RNA metabolism  
GCKDGN101A2R04 	 0.694789 	 cell cycle and proliferation
GCKDGN101A2R04 	 0.694789 	 developmental processes  
GCKDGN101A2R04 	 0.694789 	 other biological processes 
GCKDGN101A2R04 	 0.694789 	 other metabolic processes 
GCKDGN101A2TT4 	 0.584856 	 other biological processes 
GCKDGN101A2TT4 	 0.584856 	 stress response  
GCKDGN101A2TT4 	 0.584856 	 transport   
GCKDGN101A2V3C 	 0.880121 	 other metabolic processes 
GCKDGN101A2WY5 	 0.628895 	 other biological processes 
GCKDGN101A32G8 	 0.705335 	 other biological processes 
GCKDGN101A32G8 	 0.705335 	 protein metabolism  
GCKDGN101A32G8 	 0.705335 	 signal transduction  
GCKDGN101A33CU 	 0.948448 	 other metabolic processes 
GCKDGN101A34D9 	 1.08218 	 death   
GCKDGN101A35AI 	 0.170293 	 transport   
GCKDGN101A35CP 	 0.586175 	 DNA metabolism  
GCKDGN101A35CP 	 0.586175 	 stress response  
GCKDGN101A38H8 	 0.814283 	 other metabolic processes 
GCKDGN101A38VU 	 0.886832 	 RNA metabolism  
GCKDGN101A38VU 	 0.886832 	 protein metabolism  
GCKDGN101A39MO 	 0.590011 	 RNA metabolism  
GCKDGN101A39MO 	 0.590011 	 cell cycle and proliferation
GCKDGN101A39MO 	 0.590011 	 death   
GCKDGN101A39MO 	 0.590011 	 developmental processes  
GCKDGN101A39MO 	 0.590011 	 other metabolic processes 
GCKDGN101A39MO 	 0.590011 	 protein metabolism  
GCKDGN101A39MO 	 0.590011 	 signal transduction  
GCKDGN101A39U8 	 0.491907 	 protein metabolism  
GCKDGN101A3A1B 	 1.00662 	 RNA metabolism  
GCKDGN101A3A1B 	 1.00662 	 protein metabolism  
GCKDGN101A3AVK 	 0.524441 	 other metabolic processes 
GCKDGN101A3EUL 	 0.096801 	 protein metabolism  
GCKDGN101A3FW4 	 0.536494 	 RNA metabolism  
GCKDGN101A3GMY 	 0.260327 	 protein metabolism  
GCKDGN101A3LA5 	 0.930564 	 RNA metabolism  
GCKDGN101A3LA5 	 0.930564 	 protein metabolism  
GCKDGN101A3MZM 	 0.374352 	 other biological processes 
GCKDGN101A3MZM 	 0.374352 	 signal transduction  
GCKDGN101A3N2H 	 0.724646 	 protein metabolism  
GCKDGN101A3NNK 	 0.837505 	 other biological processes 
GCKDGN101A3NNK 	 0.837505 	 other metabolic processes 
GCKDGN101A3QHI 	 0.842537 	 RNA metabolism  
GCKDGN101A3QHI 	 0.842537 	 developmental processes  
GCKDGN101A3QHI 	 0.842537 	 other biological processes 
GCKDGN101A3RJK 	 0.137416 	 cell adhesion  
GCKDGN101A3RJK 	 0.137416 	 other biological processes 
GCKDGN101A3SQJ 	 1.0234 	 RNA metabolism  
GCKDGN101A3SQJ 	 1.0234 	 cell cycle and proliferation
GCKDGN101A3SQJ 	 1.0234 	 cell organization and biogenesis
GCKDGN101A3SQJ 	 1.0234 	 other biological processes 
GCKDGN101A3SQJ 	 1.0234 	 protein metabolism  
GCKDGN101A3TPT 	 0.694477 	 other metabolic processes 
GCKDGN101A3WTT 	 1.00507 	 protein metabolism  
GCKDGN101A3WZT 	 0.710199 	 DNA metabolism  
GCKDGN101A3WZT 	 0.710199 	 cell organization and biogenesis
GCKDGN101A3WZT 	 0.710199 	 death   
GCKDGN101A3WZT 	 0.710199 	 other metabolic processes 
GCKDGN101A3YQM 	 0.65202 	 DNA metabolism  
GCKDGN101A3YQM 	 0.65202 	 death   
GCKDGN101A3YQM 	 0.65202 	 other biological processes 
GCKDGN101A3YQM 	 0.65202 	 protein metabolism  
GCKDGN101A3YQM 	 0.65202 	 stress response  
GCKDGN101A3YQM 	 0.65202 	 transport   
GCKDGN101A3ZIL 	 0.938238 	 death   
GCKDGN101A3ZIL 	 0.938238 	 protein metabolism  
GCKDGN101A3ZVE 	 0.305408 	 other metabolic processes 
GCKDGN101A40XG 	 0.573362 	 transport   
GCKDGN101A44RN 	 0.76439 	 cell adhesion  
GCKDGN101A44RN 	 0.76439 	 other biological processes 
GCKDGN101A45U8 	 0.786242 	 RNA metabolism  
GCKDGN101A45U8 	 0.786242 	 cell cycle and proliferation
GCKDGN101A45U8 	 0.786242 	 cell organization and biogenesis
GCKDGN101A45U8 	 0.786242 	 other biological processes 
GCKDGN101A45U8 	 0.786242 	 signal transduction  
GCKDGN101A46X0 	 0.90341 	 RNA metabolism  
GCKDGN101A48S3 	 0.460989 	 protein metabolism  
GCKDGN101A48ZU 	 0.657476 	 transport   
GCKDGN101A49CB 	 0.876554 	 other metabolic processes 
GCKDGN101A49CB 	 0.876554 	 transport   
GCKDGN101A4FGV 	 0.932258 	 cell adhesion  
GCKDGN101A4FGV 	 0.932258 	 developmental processes  
GCKDGN101A4G6Y 	 0.394756 	 transport   
GCKDGN101A4H5X 	 0.400011 	 cell cycle and proliferation
GCKDGN101A4H5X 	 0.400011 	 cell organization and biogenesis
GCKDGN101A4H5X 	 0.400011 	 developmental processes  
GCKDGN101A4H5X 	 0.400011 	 other biological processes 
GCKDGN101A4H5X 	 0.400011 	 other metabolic processes 
GCKDGN101A4H5X 	 0.400011 	 transport   
GCKDGN101A4I32 	 0.750009 	 DNA metabolism  
GCKDGN101A4I32 	 0.750009 	 cell organization and biogenesis
GCKDGN101A4ILS 	 0.452041 	 RNA metabolism  
GCKDGN101A4ILS 	 0.452041 	 other biological processes 
GCKDGN101A4JA1 	 0.755272 	 RNA metabolism  
GCKDGN101A4JA1 	 0.755272 	 cell cycle and proliferation
GCKDGN101A4JA1 	 0.755272 	 death   
GCKDGN101A4JA1 	 0.755272 	 developmental processes  
GCKDGN101A4JA1 	 0.755272 	 other biological processes 
GCKDGN101A4JA1 	 0.755272 	 other metabolic processes 
GCKDGN101A4JA1 	 0.755272 	 protein metabolism  
GCKDGN101A4JA1 	 0.755272 	 signal transduction  
GCKDGN101A4JA1 	 0.755272 	 stress response  
GCKDGN101A4JC9 	 0.377781 	 transport   
GCKDGN101A4JTF 	 0.855311 	 other metabolic processes 
GCKDGN101A4JVH 	 0 	 transport   
GCKDGN101A4JZ5 	 0.580223 	 developmental processes  
GCKDGN101A4JZ5 	 0.580223 	 other biological processes 
GCKDGN101A4JZ5 	 0.580223 	 other metabolic processes 
GCKDGN101A4JZ5 	 0.580223 	 protein metabolism  
GCKDGN101A4LIT 	 0.198071 	 other metabolic processes 
GCKDGN101A4LJ1 	 0.964782 	 other biological processes 
GCKDGN101A4M6J 	 0.840745 	 cell cycle and proliferation
GCKDGN101A4M6J 	 0.840745 	 developmental processes  
GCKDGN101A4M6J 	 0.840745 	 other biological processes 
GCKDGN101A4NZH 	 0.857502 	 other biological processes 
GCKDGN101A4NZH 	 0.857502 	 signal transduction  
GCKDGN101A4PKS 	 0.0825566 	 cell organization and biogenesis
GCKDGN101A4PKS 	 0.0825566 	 transport   
GCKDGN101A4PN8 	 0.372234 	 cell organization and biogenesis
GCKDGN101A4PRK 	 0.955123 	 other metabolic processes 
GCKDGN101A4PRK 	 0.955123 	 transport   
GCKDGN101A4R0L 	 0.472822 	 other biological processes 
GCKDGN101A4RKF 	 0.0748404 	 RNA metabolism  
GCKDGN101A4RKF 	 0.0748404 	 cell organization and biogenesis
GCKDGN101A4RYG 	 0.918386 	 RNA metabolism  
GCKDGN101A4RYG 	 0.918386 	 cell cycle and proliferation
GCKDGN101A4RYG 	 0.918386 	 cell organization and biogenesis
GCKDGN101A4RYG 	 0.918386 	 developmental processes  
GCKDGN101A4RYG 	 0.918386 	 other biological processes 
GCKDGN101A4S6K 	 0.89106 	 other biological processes 
GCKDGN101A4S6K 	 0.89106 	 protein metabolism  
GCKDGN101A4S6K 	 0.89106 	 stress response  
GCKDGN101A4SUY 	 0.988843 	 cell adhesion  
GCKDGN101A4SUY 	 0.988843 	 cell cycle and proliferation
GCKDGN101A4SUY 	 0.988843 	 cell organization and biogenesis
GCKDGN101A4SUY 	 0.988843 	 developmental processes  
GCKDGN101A4SUY 	 0.988843 	 other biological processes 
GCKDGN101A4SUY 	 0.988843 	 protein metabolism  
GCKDGN101A4SUY 	 0.988843 	 signal transduction  
GCKDGN101A4VAF 	 0.0765213 	 cell organization and biogenesis
GCKDGN101A4VAF 	 0.0765213 	 developmental processes  
GCKDGN101A4VAF 	 0.0765213 	 other metabolic processes 
GCKDGN101A4VAF 	 0.0765213 	 transport   
GCKDGN101A4VKU 	 0.289721 	 DNA metabolism  
GCKDGN101A4VKU 	 0.289721 	 cell cycle and proliferation
GCKDGN101A4VKU 	 0.289721 	 other biological processes 
GCKDGN101A4VKU 	 0.289721 	 stress response  
GCKDGN101A4W2H 	 0.410069 	 DNA metabolism  
GCKDGN101A4W2H 	 0.410069 	 cell cycle and proliferation
GCKDGN101A4W2H 	 0.410069 	 developmental processes  
GCKDGN101A4W2H 	 0.410069 	 other biological processes 
GCKDGN101A4W2H 	 0.410069 	 other metabolic processes 
GCKDGN101A4W2H 	 0.410069 	 protein metabolism  
GCKDGN101A4W2H 	 0.410069 	 signal transduction  
GCKDGN101A4WM3 	 0.510475 	 RNA metabolism  
GCKDGN101A4WM3 	 0.510475 	 cell organization and biogenesis
GCKDGN101A4WM3 	 0.510475 	 other metabolic processes 
GCKDGN101A4WM3 	 0.510475 	 protein metabolism  
GCKDGN101A4XN7 	 0.607387 	 cell cycle and proliferation
GCKDGN101A4XN7 	 0.607387 	 developmental processes  
GCKDGN101A4XPZ 	 0.224355 	 other metabolic processes 
GCKDGN101A4XPZ 	 0.224355 	 protein metabolism  
GCKDGN101A4XXK 	 0.264005 	 RNA metabolism  
GCKDGN101A4YYR 	 0.22635 	 cell cycle and proliferation
GCKDGN101A4YYR 	 0.22635 	 other biological processes 
GCKDGN101A4YYR 	 0.22635 	 other metabolic processes 
GCKDGN101A4ZEK 	 0.663471 	 other biological processes 
GCKDGN101A51N3 	 0.640325 	 other biological processes 
GCKDGN101A5213 	 1.07613 	 cell organization and biogenesis
GCKDGN101A527Z 	 0.850853 	 protein metabolism  
GCKDGN101A52QR 	 0 	 cell adhesion  
GCKDGN101A53V7 	 0.333336 	 RNA metabolism  
GCKDGN101A53V7 	 0.333336 	 other metabolic processes 
GCKDGN101A53V7 	 0.333336 	 protein metabolism  
GCKDGN101A53V7 	 0.333336 	 transport   
GCKDGN101A53WE 	 0.462909 	 RNA metabolism  
GCKDGN101A53ZU 	 0.961558 	 other biological processes 
GCKDGN101A53ZU 	 0.961558 	 protein metabolism  
GCKDGN101A53ZU 	 0.961558 	 signal transduction  
GCKDGN101A54LW 	 0 	 other metabolic processes 
GCKDGN101A54LW 	 0 	 stress response  
GCKDGN101A54RM 	 0.757277 	 other biological processes 
GCKDGN101A54RM 	 0.757277 	 signal transduction  
GCKDGN101A54RM 	 0.757277 	 transport   
GCKDGN101A56R5 	 0.152861 	 developmental processes  
GCKDGN101A56R5 	 0.152861 	 other metabolic processes 
GCKDGN101A57ST 	 0.110686 	 RNA metabolism  
GCKDGN101A59EA 	 0.611127 	 RNA metabolism  
GCKDGN101A5AD9 	 0.364011 	 other metabolic processes 
GCKDGN101A5BL5 	 1.1722 	 other biological processes 
GCKDGN101A5BL5 	 1.1722 	 signal transduction  
GCKDGN101A5DJ7 	 0.225185 	 other biological processes 
GCKDGN101A5DJ7 	 0.225185 	 protein metabolism  
GCKDGN101A5DJ7 	 0.225185 	 stress response  
GCKDGN101A5F06 	 0.484111 	 RNA metabolism  
GCKDGN101A5HQD 	 0.780555 	 RNA metabolism  
GCKDGN101A5HQD 	 0.780555 	 other biological processes 
GCKDGN101A5KEV 	 0.605378 	 developmental processes  
GCKDGN101A5LV7 	 0.114518 	 developmental processes  
GCKDGN101A5LV7 	 0.114518 	 other biological processes 
GCKDGN101A5LV7 	 0.114518 	 other metabolic processes 
GCKDGN101A5OA9 	 0.818154 	 protein metabolism  
GCKDGN101A5P5R 	 0.970633 	 other metabolic processes 
GCKDGN101A5P5R 	 0.970633 	 protein metabolism  
GCKDGN101A5QLW 	 0.520214 	 other biological processes 
GCKDGN101A5QMR 	 0.384331 	 protein metabolism  
GCKDGN101A5QSY 	 0.744906 	 cell organization and biogenesis
GCKDGN101A5QSY 	 0.744906 	 cell-cell signaling  
GCKDGN101A5QSY 	 0.744906 	 developmental processes  
GCKDGN101A5QSY 	 0.744906 	 other biological processes 
GCKDGN101A5QSY 	 0.744906 	 other metabolic processes 
GCKDGN101A5QSY 	 0.744906 	 protein metabolism  
GCKDGN101A5R8X 	 0.39797 	 transport   
GCKDGN101A5S0Y 	 0.867126 	 other metabolic processes 
GCKDGN101A5S8T 	 0.941947 	 DNA metabolism  
GCKDGN101A5S8T 	 0.941947 	 cell organization and biogenesis
GCKDGN101A5S8T 	 0.941947 	 other metabolic processes 
GCKDGN101A5U57 	 0.712994 	 death   
GCKDGN101A5WAE 	 0.638795 	 other metabolic processes 
GCKDGN101A5WJE 	 0.627947 	 RNA metabolism  
GCKDGN101A5XJ8 	 1.07014 	 other metabolic processes 
GCKDGN101A5XJ8 	 1.07014 	 stress response  
GCKDGN101A5YWS 	 0.278231 	 cell cycle and proliferation
GCKDGN101A5YWS 	 0.278231 	 cell organization and biogenesis
GCKDGN101A5YWS 	 0.278231 	 other biological processes 
GCKDGN101A5ZFE 	 0.335596 	 cell adhesion  
GCKDGN101A5ZFE 	 0.335596 	 cell organization and biogenesis
GCKDGN101A5ZFE 	 0.335596 	 developmental processes  
GCKDGN101A5ZFE 	 0.335596 	 other biological processes 
GCKDGN101A5ZFE 	 0.335596 	 signal transduction  
GCKDGN101A5ZFE 	 0.335596 	 stress response  
GCKDGN101A5ZON 	 0.56665 	 other biological processes 
GCKDGN101A5ZON 	 0.56665 	 other metabolic processes 
GCKDGN101A60E3 	 0.512136 	 other metabolic processes 
GCKDGN101A60E3 	 0.512136 	 protein metabolism  
GCKDGN101A60F2 	 0.546679 	 stress response  
GCKDGN101A640O 	 0.358292 	 other metabolic processes 
GCKDGN101A640O 	 0.358292 	 transport   
GCKDGN101A642G 	 0.242653 	 other metabolic processes 
GCKDGN101A67QA 	 0.832998 	 RNA metabolism  
GCKDGN101A68P2 	 0.973484 	 other biological processes 
GCKDGN101A69YR 	 0.593141 	 cell organization and biogenesis
GCKDGN101A69YR 	 0.593141 	 protein metabolism  
GCKDGN101A6A53 	 0.83342 	 other biological processes 
GCKDGN101A6A53 	 0.83342 	 other metabolic processes 
GCKDGN101A6APY 	 0.751205 	 signal transduction  
GCKDGN101A6D55 	 0.809776 	 other metabolic processes 
GCKDGN101A6D55 	 0.809776 	 transport   
GCKDGN101A6DFF 	 1.18346 	 DNA metabolism  
GCKDGN101A6DFF 	 1.18346 	 cell cycle and proliferation
GCKDGN101A6DFF 	 1.18346 	 other biological processes 
GCKDGN101A6FH4 	 0.335674 	 DNA metabolism  
GCKDGN101A6FH4 	 0.335674 	 protein metabolism  
GCKDGN101A6HZZ 	 0.825343 	 RNA metabolism  
GCKDGN101A6HZZ 	 0.825343 	 cell organization and biogenesis
GCKDGN101A6HZZ 	 0.825343 	 death   
GCKDGN101A6HZZ 	 0.825343 	 developmental processes  
GCKDGN101A6HZZ 	 0.825343 	 other biological processes 
GCKDGN101A6I2B 	 0.760771 	 other biological processes 
GCKDGN101A6IUP 	 0.494741 	 other biological processes 
GCKDGN101A6JM5 	 0.382626 	 protein metabolism  
GCKDGN101A6KTM 	 0.935494 	 cell organization and biogenesis
GCKDGN101A6KTM 	 0.935494 	 transport   
GCKDGN101A6KXV 	 0.789302 	 DNA metabolism  
GCKDGN101A6KXV 	 0.789302 	 protein metabolism  
GCKDGN101A6L12 	 0.993927 	 other biological processes 
GCKDGN101A6L12 	 0.993927 	 other metabolic processes 
GCKDGN101A6QFQ 	 0.154669 	 other metabolic processes 
GCKDGN101A6R0Y 	 1.42319 	 other metabolic processes 
GCKDGN101A6RZZ 	 0.0744923 	 RNA metabolism  
GCKDGN101A6RZZ 	 0.0744923 	 cell organization and biogenesis
GCKDGN101A6RZZ 	 0.0744923 	 other biological processes 
GCKDGN101A6RZZ 	 0.0744923 	 protein metabolism  
GCKDGN101A6TK0 	 0.732084 	 transport   
GCKDGN101A6UZD 	 0.766129 	 cell cycle and proliferation
GCKDGN101A6UZD 	 0.766129 	 cell organization and biogenesis
GCKDGN101A6UZD 	 0.766129 	 other biological processes 
GCKDGN101A6UZD 	 0.766129 	 other metabolic processes 
GCKDGN101A6YHL 	 0.468839 	 DNA metabolism  
GCKDGN101A6YHL 	 0.468839 	 cell cycle and proliferation
GCKDGN101A6YHL 	 0.468839 	 protein metabolism  
GCKDGN101A6YHL 	 0.468839 	 signal transduction  
GCKDGN101A6YHL 	 0.468839 	 stress response  
GCKDGN101A6YL2 	 0.479765 	 cell organization and biogenesis
GCKDGN101A6YL2 	 0.479765 	 cell-cell signaling  
GCKDGN101A6YL2 	 0.479765 	 developmental processes  
GCKDGN101A6YL2 	 0.479765 	 other biological processes 
GCKDGN101A6YL2 	 0.479765 	 signal transduction  
GCKDGN101A6YL2 	 0.479765 	 transport   
GCKDGN101A70HE 	 0.447962 	 DNA metabolism  
GCKDGN101A70HE 	 0.447962 	 cell organization and biogenesis
GCKDGN101A70HE 	 0.447962 	 stress response  
GCKDGN101A7126 	 0.920399 	 cell adhesion  
GCKDGN101A7126 	 0.920399 	 cell organization and biogenesis
GCKDGN101A7126 	 0.920399 	 developmental processes  
GCKDGN101A73PT 	 0.943978 	 other metabolic processes 
GCKDGN101A73PT 	 0.943978 	 protein metabolism  
GCKDGN101A74I7 	 0.766833 	 other biological processes 
GCKDGN101A74I7 	 0.766833 	 protein metabolism  
GCKDGN101A74I7 	 0.766833 	 stress response  
GCKDGN101A778K 	 0.219171 	 other metabolic processes 
GCKDGN101A778K 	 0.219171 	 signal transduction  
GCKDGN101A7EWB 	 0.684144 	 RNA metabolism  
GCKDGN101A7EWB 	 0.684144 	 cell organization and biogenesis
GCKDGN101A7EWB 	 0.684144 	 cell-cell signaling  
GCKDGN101A7EWB 	 0.684144 	 developmental processes  
GCKDGN101A7EWB 	 0.684144 	 other biological processes 
GCKDGN101A7EWB 	 0.684144 	 other metabolic processes 
GCKDGN101A7EZ9 	 0.238691 	 RNA metabolism  
GCKDGN101A7FPH 	 0.865247 	 other metabolic processes 
GCKDGN101A7H4U 	 1.20891 	 other biological processes 
GCKDGN101A7H4U 	 1.20891 	 protein metabolism  
GCKDGN101A7H5L 	 1.34225 	 DNA metabolism  
GCKDGN101A7H5L 	 1.34225 	 other biological processes 
GCKDGN101A7IKO 	 0.687674 	 DNA metabolism  
GCKDGN101A7IKO 	 0.687674 	 RNA metabolism  
GCKDGN101A7IKO 	 0.687674 	 cell organization and biogenesis
GCKDGN101A7IKO 	 0.687674 	 death   
GCKDGN101A7IKO 	 0.687674 	 developmental processes  
GCKDGN101A7IKO 	 0.687674 	 other biological processes 
GCKDGN101A7IKO 	 0.687674 	 other metabolic processes 
GCKDGN101A7IKO 	 0.687674 	 protein metabolism  
GCKDGN101A7IKO 	 0.687674 	 stress response  
GCKDGN101A7K45 	 1.12216 	 other metabolic processes 
GCKDGN101A7L4B 	 0.0643042 	 RNA metabolism  
GCKDGN101A7L4B 	 0.0643042 	 cell organization and biogenesis
GCKDGN101A7L4B 	 0.0643042 	 developmental processes  
GCKDGN101A7L4Y 	 1.00338 	 other biological processes 
GCKDGN101A7L4Y 	 1.00338 	 protein metabolism  
GCKDGN101A7L4Y 	 1.00338 	 signal transduction  
GCKDGN101A7LCW 	 1.21568 	 other biological processes 
