ContigID,GOSlim_bin
isotig27488,RNA metabolism
isotig16413,cell organization and biogenesis
isotig07371,RNA metabolism
GCKDGN102DY3C1,death
isotig28686,cell organization and biogenesis
isotig01705,other metabolic processes
isotig11969,cell organization and biogenesis
GCKDGN101BPIAL,other biological processes
isotig09738,protein metabolism
isotig27122,cell organization and biogenesis
isotig01045,stress response
isotig01480,stress response
isotig12824,protein metabolism
isotig00149,other metabolic processes
isotig19460,other metabolic processes
isotig14003,death
isotig24851,cell organization and biogenesis
GCKDGN101BTZBL,transport
isotig27032,cell organization and biogenesis
isotig24655,other metabolic processes
GCKDGN103GFMX0,cell organization and biogenesis
isotig28223,other biological processes
GCKDGN101BWTEZ,developmental processes
isotig21206,cell organization and biogenesis
isotig19032,transport
GCKDGN102DE2XL,protein metabolism
isotig29523,RNA metabolism
isotig31407,developmental processes
isotig24131,transport
isotig25711,other biological processes
GCKDGN103F11UD,RNA metabolism
isotig04843,signal transduction
isotig04509,transport
isotig00723,cell organization and biogenesis
isotig06346,other biological processes
isotig20109,other metabolic processes
GCKDGN103G0K0J,cell organization and biogenesis
isotig27634,protein metabolism
isotig30047,cell organization and biogenesis
isotig19658,other metabolic processes
isotig02119,other metabolic processes
isotig05323,protein metabolism
isotig24477,other biological processes
isotig21521,signal transduction
isotig04197,cell cycle and proliferation
isotig22611,other biological processes
GCKDGN102ERZN9,other metabolic processes
isotig05719,transport
isotig32322,protein metabolism
isotig10876,cell organization and biogenesis
isotig24564,cell organization and biogenesis
isotig22220,cell organization and biogenesis
isotig17131,transport
isotig03442,cell organization and biogenesis
GCKDGN102ETCEB,protein metabolism
isotig16726,other metabolic processes
isotig31116,stress response
GCKDGN101BNYRX,cell adhesion
isotig30331,protein metabolism
GCKDGN101BXHLT,other metabolic processes
GCKDGN103GLRMW,cell organization and biogenesis
GCKDGN103GW0XL,cell organization and biogenesis
GCKDGN103G748Z,cell-cell signaling
GCKDGN102D46WK,RNA metabolism
isotig28738,other biological processes
isotig07290,cell organization and biogenesis
isotig25377,protein metabolism
isotig19817,cell cycle and proliferation
isotig03484,other biological processes
isotig13097,other biological processes
GCKDGN103G7HU8,developmental processes
GCKDGN102DVSHT,RNA metabolism
isotig16476,other metabolic processes
isotig00628,cell organization and biogenesis
GCKDGN103FRNHN,protein metabolism
isotig18014,other metabolic processes
isotig25343,developmental processes
isotig20378,other metabolic processes
isotig22758,stress response
isotig20498,cell organization and biogenesis
isotig22999,cell cycle and proliferation
isotig18206,other metabolic processes
isotig03262,cell adhesion
GCKDGN101CFH3G,other metabolic processes
isotig05216,developmental processes
isotig05518,other biological processes
isotig27128,protein metabolism
GCKDGN103GTGWF,other metabolic processes
GCKDGN102EBXDY,transport
isotig21930,protein metabolism
GCKDGN101BHETR,signal transduction
GCKDGN103HESOT,other metabolic processes
GCKDGN103FZRL8,signal transduction
isotig06058,stress response
isotig07173,RNA metabolism
GCKDGN101ATJE2,other biological processes
isotig30961,developmental processes
GCKDGN101BTU21,cell adhesion
isotig06690,RNA metabolism
GCKDGN102ETG1X,other metabolic processes
isotig01731,other biological processes
GCKDGN102DA4IY,other metabolic processes
isotig14107,transport
isotig13069,cell organization and biogenesis
isotig05811,protein metabolism
GCKDGN103GKKQL,RNA metabolism
GCKDGN102ELB1Z,other biological processes
isotig30978,transport
isotig05606,other biological processes
GCKDGN101BBIK5,RNA metabolism
GCKDGN103G2UV9,protein metabolism
isotig15206,other metabolic processes
isotig31958,protein metabolism
isotig06977,other biological processes
GCKDGN103GOAEX,signal transduction
GCKDGN102DPJ15,other metabolic processes
isotig26382,stress response
isotig10907,protein metabolism
isotig02440,other biological processes
isotig18105,other metabolic processes
GCKDGN101CGPH5,other biological processes
isotig15963,protein metabolism
isotig29365,cell organization and biogenesis
GE915816,RNA metabolism
GCKDGN103GSKV6,protein metabolism
isotig18140,cell organization and biogenesis
GCKDGN101BO86R,transport
isotig28659,other metabolic processes
isotig01594,signal transduction
isotig12928,cell-cell signaling
GCKDGN102DKQNG,stress response
GCKDGN101BM09O,other metabolic processes
isotig04959,other biological processes
isotig28901,protein metabolism
isotig20373,other metabolic processes
isotig14724,cell organization and biogenesis
isotig29260,other metabolic processes
GCKDGN101A9QGN,other metabolic processes
GCKDGN101BAT7G,signal transduction
isotig24606,other metabolic processes
GCKDGN103F27GP,other metabolic processes
isotig09196,protein metabolism
GCKDGN103FQM7N,death
isotig05358,signal transduction
GCKDGN102DGCY7,transport
isotig06888,other biological processes
GCKDGN102DLPLV,protein metabolism
GCKDGN103FPQHP,other metabolic processes
isotig07617,signal transduction
isotig05045,other biological processes
isotig10776,developmental processes
isotig21212,other metabolic processes
isotig07462,developmental processes
isotig22486,stress response
isotig05810,signal transduction
isotig22662,transport
isotig22071,other metabolic processes
GCKDGN103F6HJ3,other metabolic processes
isotig13247,other metabolic processes
GCKDGN101BARH6,other metabolic processes
GCKDGN101CCPJF,other metabolic processes
isotig01877,RNA metabolism
GCKDGN102EBEUB,other metabolic processes
GE907338,transport
isotig32161,signal transduction
isotig12155,signal transduction
GCKDGN101BIKMH,transport
isotig32807,developmental processes
isotig16569,signal transduction
isotig11296,RNA metabolism
GCKDGN103GHF0S,other biological processes
isotig13828,stress response
isotig30698,transport
isotig00788,other metabolic processes
isotig08437,protein metabolism
isotig18379,cell cycle and proliferation
GCKDGN102D0G9A,other metabolic processes
GCKDGN102DVT8A,other metabolic processes
GCKDGN101CAWIH,cell organization and biogenesis
isotig21663,other metabolic processes
GCKDGN102EZCXX,cell organization and biogenesis
GCKDGN102ETRIY,other metabolic processes
GE913864,signal transduction
isotig17757,other biological processes
isotig30773,other metabolic processes
GCKDGN103GV15D,other biological processes
GCKDGN101B3V3V,protein metabolism
isotig09459,protein metabolism
isotig03264,cell cycle and proliferation
isotig31040,signal transduction
isotig06351,other biological processes
isotig20441,transport
isotig23583,other metabolic processes
isotig07610,other biological processes
GCKDGN103FL1N0,other metabolic processes
isotig26861,other biological processes
isotig30171,transport
isotig03365,developmental processes
isotig03124,other biological processes
isotig09202,signal transduction
GCKDGN102EYAV1,cell organization and biogenesis
GCKDGN102C89T3,transport
isotig32239,transport
GCKDGN101BHOVN,transport
GCKDGN101BKR0W,protein metabolism
isotig01266,cell organization and biogenesis
GCKDGN101BYGXA,other metabolic processes
isotig18938,transport
GCKDGN103G3BDW,transport
isotig22590,other biological processes
isotig10693,cell-cell signaling
GCKDGN102EPATL,other metabolic processes
GCKDGN102EG2T1,signal transduction
GCKDGN101BPE3X,protein metabolism
isotig17198,other biological processes
GCKDGN103HD9E7,other metabolic processes
GCKDGN103GAM40,other biological processes
GCKDGN101A4RYG,cell organization and biogenesis
isotig30581,transport
GCKDGN101BNY7C,signal transduction
isotig26847,cell organization and biogenesis
isotig17950,signal transduction
isotig18877,other metabolic processes
isotig15034,protein metabolism
isotig00865,other biological processes
isotig06837,transport
isotig15917,protein metabolism
GCKDGN102EJ8TR,other biological processes
isotig08630,other metabolic processes
GCKDGN102D10Q0,DNA metabolism
isotig15463,developmental processes
GCKDGN102EFP2C,other metabolic processes
GCKDGN103G9SFU,cell cycle and proliferation
GCKDGN101AV5XL,cell organization and biogenesis
GCKDGN102D6PET,DNA metabolism
isotig15928,other metabolic processes
isotig19791,RNA metabolism
isotig09941,cell organization and biogenesis
GCKDGN102EA91Z,developmental processes
isotig09439,stress response
isotig20629,cell organization and biogenesis
isotig12954,other biological processes
GCKDGN103F1QUQ,stress response
isotig21662,developmental processes
isotig00037,other metabolic processes
isotig14306,other metabolic processes
isotig08072,other biological processes
isotig03192,protein metabolism
isotig25266,protein metabolism
isotig17444,other metabolic processes
isotig17076,cell organization and biogenesis
isotig24223,developmental processes
isotig21420,other metabolic processes
GCKDGN101ATV5Z,other biological processes
isotig02357,death
isotig02433,other metabolic processes
isotig03018,transport
isotig22076,RNA metabolism
isotig25960,other biological processes
isotig24343,transport
isotig25753,developmental processes
isotig26655,other metabolic processes
isotig21369,other metabolic processes
isotig14213,other biological processes
GCKDGN102C9UWJ,other metabolic processes
GCKDGN103GZDHY,other metabolic processes
isotig04427,other metabolic processes
isotig00396,signal transduction
isotig12228,cell cycle and proliferation
GCKDGN102ESVTF,protein metabolism
isotig17825,transport
isotig14118,signal transduction
isotig08054,other biological processes
isotig02786,cell adhesion
isotig03368,other biological processes
isotig05699,stress response
isotig17101,other metabolic processes
isotig08167,other biological processes
isotig00859,transport
isotig12937,RNA metabolism
isotig29948,protein metabolism
isotig14021,death
isotig24711,cell organization and biogenesis
GCKDGN103HFRB8,developmental processes
isotig22396,other biological processes
GE914426,stress response
GCKDGN102D8EHA,cell organization and biogenesis
isotig23629,cell organization and biogenesis
isotig11057,other metabolic processes
isotig06804,signal transduction
GCKDGN102DYGXU,cell-cell signaling
isotig23523,transport
GCKDGN103F9HA8,other metabolic processes
GCKDGN101A2R04,other metabolic processes
isotig21257,protein metabolism
isotig22340,other metabolic processes
GCKDGN102EK71X,signal transduction
isotig04924,other biological processes
GCKDGN103GO7C6,developmental processes
GE913024,other biological processes
isotig06144,other biological processes
GCKDGN103GZK6B,cell cycle and proliferation
isotig18258,developmental processes
isotig10344,transport
isotig00027,transport
GCKDGN102EIOEG,transport
isotig31238,cell organization and biogenesis
isotig07699,other biological processes
isotig16080,other biological processes
isotig03436,other biological processes
isotig02320,signal transduction
isotig14801,other biological processes
isotig23085,other metabolic processes
GCKDGN101CITRR,cell cycle and proliferation
isotig08078,developmental processes
isotig29699,stress response
GCKDGN102EXQ0Q,RNA metabolism
GCKDGN102DM5R7,cell organization and biogenesis
isotig20475,transport
isotig08915,other biological processes
GCKDGN103GJP6F,other metabolic processes
isotig30684,stress response
isotig19429,protein metabolism
GCKDGN101ANAAN,transport
isotig29960,DNA metabolism
isotig10203,protein metabolism
isotig19756,transport
isotig09851,other biological processes
isotig03874,transport
isotig25623,other metabolic processes
isotig06548,stress response
GCKDGN102D0WPM,other metabolic processes
isotig21116,cell-cell signaling
isotig01074,transport
GE916435,other metabolic processes
isotig04181,transport
isotig18869,developmental processes
GCKDGN103GR8RH,cell cycle and proliferation
isotig19216,protein metabolism
isotig15403,other biological processes
isotig21069,protein metabolism
isotig29651,other biological processes
GCKDGN101A7XOY,other biological processes
GCKDGN102EN12N,developmental processes
isotig19306,other metabolic processes
GCKDGN102DI66L,other metabolic processes
isotig29469,other metabolic processes
GE917222,other biological processes
GCKDGN101BV2FW,protein metabolism
GE916104,protein metabolism
isotig24255,cell-cell signaling
GCKDGN102EFNBK,developmental processes
isotig01482,RNA metabolism
GCKDGN101BS03A,cell organization and biogenesis
isotig05392,developmental processes
isotig27703,stress response
isotig11900,other biological processes
isotig22815,other biological processes
isotig19491,other metabolic processes
isotig31499,protein metabolism
isotig18116,protein metabolism
GCKDGN102DD74Z,RNA metabolism
isotig28949,developmental processes
GCKDGN103FOUAU,protein metabolism
GCKDGN102DABIM,signal transduction
GCKDGN102EQMO0,cell cycle and proliferation
GCKDGN102DZJCD,other metabolic processes
GCKDGN103G1N36,other metabolic processes
isotig14222,DNA metabolism
isotig04618,cell cycle and proliferation
GCKDGN102D9N7E,signal transduction
isotig05560,developmental processes
GCKDGN101BOAFV,developmental processes
isotig04353,developmental processes
isotig04881,other metabolic processes
isotig17460,cell organization and biogenesis
GCKDGN101CES4W,protein metabolism
GCKDGN103F42YA,developmental processes
isotig05521,transport
isotig06288,DNA metabolism
isotig28575,other biological processes
isotig20600,other metabolic processes
isotig06089,transport
GCKDGN103GOYMZ,RNA metabolism
GCKDGN103GI89T,transport
GCKDGN102DPNJ1,RNA metabolism
isotig18944,signal transduction
GCKDGN101BR96A,other metabolic processes
GCKDGN102ER329,developmental processes
isotig20850,protein metabolism
isotig07166,protein metabolism
isotig03279,cell organization and biogenesis
isotig01690,other metabolic processes
isotig04694,protein metabolism
isotig13636,RNA metabolism
isotig11232,transport
isotig27102,signal transduction
GCKDGN102DP4ZT,cell cycle and proliferation
isotig15303,stress response
isotig00690,other biological processes
isotig02701,cell cycle and proliferation
isotig25396,other metabolic processes
isotig10551,protein metabolism
isotig00837,developmental processes
isotig22445,other biological processes
isotig16254,other metabolic processes
isotig14963,other metabolic processes
isotig11580,other biological processes
GCKDGN101BHQC4,signal transduction
isotig17527,cell cycle and proliferation
GCKDGN101BLGRZ,cell cycle and proliferation
isotig14867,other metabolic processes
isotig02786,protein metabolism
isotig12243,other metabolic processes
isotig16795,other biological processes
isotig09646,other biological processes
isotig28342,protein metabolism
isotig01314,other biological processes
GCKDGN103GB5H2,death
isotig17564,developmental processes
isotig10769,protein metabolism
isotig03940,DNA metabolism
isotig15276,protein metabolism
isotig15658,stress response
isotig10599,other metabolic processes
isotig03091,other biological processes
isotig07896,other biological processes
isotig12469,cell organization and biogenesis
isotig26121,cell cycle and proliferation
GCKDGN101BXR80,developmental processes
isotig05050,developmental processes
isotig25225,protein metabolism
GCKDGN102EBUV2,transport
isotig18265,other metabolic processes
isotig04710,cell cycle and proliferation
GCKDGN102E0HZ7,signal transduction
GCKDGN101B4EVD,RNA metabolism
GCKDGN101BD88U,cell organization and biogenesis
isotig22528,stress response
GCKDGN102EWE6N,protein metabolism
isotig09130,cell cycle and proliferation
GCKDGN102EYMUK,other metabolic processes
isotig29670,transport
isotig21689,RNA metabolism
isotig16455,developmental processes
isotig00637,other biological processes
isotig32383,transport
GCKDGN102C6KEA,stress response
isotig03452,transport
isotig07542,developmental processes
isotig14267,cell organization and biogenesis
isotig32115,cell organization and biogenesis
isotig19832,other biological processes
isotig14712,transport
GCKDGN103FYFD9,signal transduction
GCKDGN103G95F8,signal transduction
GCKDGN103G6L8O,other biological processes
isotig03086,RNA metabolism
GCKDGN103GIBI8,other metabolic processes
GCKDGN103FSHK3,cell-cell signaling
isotig25002,cell cycle and proliferation
isotig30885,other metabolic processes
isotig12102,RNA metabolism
isotig07897,cell organization and biogenesis
GCKDGN102C20AC,RNA metabolism
isotig31723,cell organization and biogenesis
isotig03426,other metabolic processes
GCKDGN103GD8ZC,cell cycle and proliferation
GCKDGN101ASZXN,signal transduction
GCKDGN101AYDXY,transport
isotig28447,other metabolic processes
isotig13695,protein metabolism
isotig28795,cell adhesion
GCKDGN101A4XPZ,protein metabolism
isotig04751,other metabolic processes
isotig06095,signal transduction
isotig30260,DNA metabolism
GE911772,other biological processes
GCKDGN102DHQMW,developmental processes
isotig11038,protein metabolism
GCKDGN102EJFXQ,cell adhesion
GCKDGN103F5KYD,cell adhesion
isotig27447,stress response
isotig13268,other biological processes
isotig18893,DNA metabolism
GCKDGN101BY716,RNA metabolism
isotig17333,other metabolic processes
isotig24792,protein metabolism
isotig01578,protein metabolism
GCKDGN103F4YLY,other metabolic processes
isotig15463,protein metabolism
isotig07468,other metabolic processes
isotig03237,other biological processes
isotig01828,protein metabolism
isotig26904,other metabolic processes
isotig29950,RNA metabolism
isotig19006,protein metabolism
isotig01737,other metabolic processes
isotig26638,developmental processes
isotig27880,other metabolic processes
isotig05870,RNA metabolism
isotig26253,other biological processes
isotig12326,protein metabolism
isotig01435,transport
GCKDGN103F861H,protein metabolism
isotig06388,other metabolic processes
isotig16782,signal transduction
isotig29415,other biological processes
isotig11116,other biological processes
GCKDGN101ALDZ8,cell organization and biogenesis
GCKDGN101CAOAP,protein metabolism
GCKDGN102DBI6L,developmental processes
GE915819,RNA metabolism
isotig18431,transport
isotig08283,protein metabolism
isotig11687,signal transduction
GCKDGN102EUAS0,other biological processes
isotig27759,death
isotig11007,other metabolic processes
isotig30569,other biological processes
GCKDGN102EMW1Z,transport
isotig15683,RNA metabolism
isotig13001,protein metabolism
isotig16747,cell organization and biogenesis
GCKDGN102D0J9C,cell organization and biogenesis
GCKDGN102DYQHQ,transport
isotig23824,developmental processes
isotig08109,protein metabolism
isotig17045,other metabolic processes
GCKDGN103GETZK,stress response
isotig01540,cell organization and biogenesis
isotig06398,transport
isotig01586,other metabolic processes
isotig26353,other metabolic processes
isotig06071,signal transduction
isotig32052,other biological processes
GCKDGN101BKGSK,signal transduction
isotig16440,other biological processes
isotig26924,stress response
isotig06469,RNA metabolism
GCKDGN103GCJ0X,cell organization and biogenesis
GCKDGN103GB5H2,signal transduction
isotig04960,other biological processes
isotig14505,cell adhesion
isotig13670,other biological processes
isotig26390,other metabolic processes
isotig09547,RNA metabolism
isotig06430,protein metabolism
isotig21446,transport
GCKDGN101A18J6,cell organization and biogenesis
GCKDGN103GD8ZC,stress response
GCKDGN103FRX98,other biological processes
GCKDGN103HA5RK,other metabolic processes
isotig21482,cell cycle and proliferation
isotig16516,cell organization and biogenesis
isotig05225,other metabolic processes
isotig01718,cell adhesion
GCKDGN102ESRRS,transport
isotig04032,death
GCKDGN103GFOBJ,transport
isotig01287,developmental processes
isotig11729,other biological processes
isotig05206,cell organization and biogenesis
isotig31718,RNA metabolism
isotig21905,other biological processes
isotig03585,other metabolic processes
isotig05784,other biological processes
isotig22018,developmental processes
isotig20937,other biological processes
isotig02127,other metabolic processes
isotig05181,RNA metabolism
GCKDGN102ECXJ5,transport
isotig02482,signal transduction
isotig25718,other biological processes
isotig19302,stress response
GCKDGN103FW0U3,protein metabolism
isotig19500,other metabolic processes
isotig03233,transport
GCKDGN103G6XFN,RNA metabolism
isotig18944,death
isotig19857,other biological processes
isotig03077,other metabolic processes
isotig24643,other metabolic processes
GCKDGN102C8KNE,DNA metabolism
isotig18726,other metabolic processes
isotig24930,other metabolic processes
isotig12107,developmental processes
isotig03605,developmental processes
isotig01071,other biological processes
isotig19599,protein metabolism
isotig21362,other metabolic processes
GCKDGN103F1RY8,protein metabolism
isotig19901,developmental processes
GCKDGN103HEHA3,other metabolic processes
isotig32091,signal transduction
isotig08083,other metabolic processes
GCKDGN101AQ6C9,cell organization and biogenesis
GCKDGN101B50TA,DNA metabolism
GCKDGN102ENGQN,other metabolic processes
isotig02874,developmental processes
GCKDGN103FVE5Q,other biological processes
isotig25059,cell organization and biogenesis
isotig27281,protein metabolism
isotig23806,cell-cell signaling
isotig26489,DNA metabolism
GCKDGN103F4BK0,protein metabolism
GCKDGN101BBUS8,death
isotig20693,other biological processes
isotig32781,other metabolic processes
GCKDGN101CJ5ZK,other biological processes
GCKDGN103GKKQL,death
isotig17820,other biological processes
isotig04859,transport
GCKDGN103HHA3A,other metabolic processes
isotig03727,cell organization and biogenesis
isotig09598,developmental processes
isotig12928,signal transduction
GCKDGN102DWKOD,cell organization and biogenesis
GCKDGN102DORP9,other metabolic processes
isotig19500,protein metabolism
GCKDGN102C9CX0,cell organization and biogenesis
GCKDGN103GK0IU,protein metabolism
GCKDGN101BUK0R,RNA metabolism
GE906475,protein metabolism
isotig01885,signal transduction
isotig29838,other biological processes
GE912847,stress response
isotig05524,RNA metabolism
isotig23143,signal transduction
GCKDGN103G8HAR,other biological processes
GCKDGN101BNE9Q,other metabolic processes
GCKDGN103GSZMN,cell cycle and proliferation
isotig17902,developmental processes
GCKDGN102EYLAB,other biological processes
isotig15818,other biological processes
isotig11205,other biological processes
isotig18905,other metabolic processes
isotig32238,developmental processes
isotig30006,protein metabolism
isotig12053,other biological processes
GCKDGN103FOLRA,other biological processes
isotig14588,other metabolic processes
isotig32619,other biological processes
isotig32623,stress response
isotig03858,other metabolic processes
isotig13257,cell-cell signaling
isotig03456,other biological processes
GCKDGN102DLXI5,other biological processes
isotig04926,stress response
isotig05596,developmental processes
isotig00604,cell adhesion
isotig19568,other metabolic processes
isotig31026,other metabolic processes
isotig12132,stress response
isotig14452,other biological processes
isotig11874,other biological processes
isotig29456,RNA metabolism
isotig11927,transport
isotig26118,DNA metabolism
isotig10238,RNA metabolism
GCKDGN102DBCRF,other biological processes
GCKDGN102EGDS0,other metabolic processes
isotig31453,protein metabolism
isotig24184,protein metabolism
isotig25844,other metabolic processes
isotig02865,signal transduction
isotig28984,transport
isotig22103,other biological processes
isotig04696,signal transduction
isotig00744,other biological processes
isotig15104,cell cycle and proliferation
isotig01852,cell adhesion
isotig13488,developmental processes
isotig01045,cell cycle and proliferation
isotig29528,other metabolic processes
isotig06044,protein metabolism
GCKDGN101BMUED,DNA metabolism
isotig30279,cell organization and biogenesis
isotig18323,death
isotig05351,cell cycle and proliferation
isotig23146,other biological processes
GCKDGN103HDZCI,other biological processes
isotig17067,signal transduction
isotig03718,signal transduction
isotig04350,RNA metabolism
isotig16192,developmental processes
isotig04474,signal transduction
isotig09436,RNA metabolism
isotig10836,other metabolic processes
GCKDGN101CK1ZW,other metabolic processes
isotig21376,other biological processes
isotig22598,signal transduction
isotig16816,other biological processes
isotig17057,cell cycle and proliferation
GCKDGN103G9QH8,other metabolic processes
isotig22492,other metabolic processes
isotig16615,protein metabolism
isotig10958,protein metabolism
GCKDGN102C9IU1,other biological processes
isotig17111,signal transduction
GCKDGN101A915U,cell cycle and proliferation
GCKDGN103HAFEH,RNA metabolism
isotig23576,other metabolic processes
GCKDGN103G4LIC,transport
isotig25800,other metabolic processes
isotig16796,signal transduction
isotig04804,other metabolic processes
isotig09780,other metabolic processes
isotig19503,stress response
isotig05234,stress response
GCKDGN102DKWRI,transport
isotig06514,other biological processes
isotig15336,other biological processes
isotig12369,other metabolic processes
GE914486,developmental processes
isotig01225,cell cycle and proliferation
isotig06121,cell adhesion
GE913094,other biological processes
isotig12933,transport
isotig05182,cell cycle and proliferation
GCKDGN103GPSN6,RNA metabolism
isotig14941,RNA metabolism
GCKDGN102ERVW3,other metabolic processes
isotig15772,stress response
isotig01075,transport
isotig01975,other biological processes
isotig08693,protein metabolism
isotig00838,developmental processes
GE913989,other metabolic processes
GCKDGN103GY5R9,other metabolic processes
isotig11097,cell cycle and proliferation
GCKDGN102EE9HH,DNA metabolism
isotig01220,developmental processes
isotig05730,signal transduction
isotig25236,other biological processes
GCKDGN102DMD44,other biological processes
isotig03263,other biological processes
GCKDGN101BWTG3,other biological processes
isotig21751,protein metabolism
isotig24612,other metabolic processes
isotig25551,other metabolic processes
GCKDGN102DD5UG,death
isotig14335,other metabolic processes
isotig01300,transport
isotig05311,stress response
isotig17124,transport
isotig03870,other biological processes
isotig16188,RNA metabolism
isotig07657,other metabolic processes
isotig24632,protein metabolism
isotig10537,other biological processes
GCKDGN102D8TIS,signal transduction
isotig11100,developmental processes
GCKDGN102C8MPB,RNA metabolism
isotig23111,transport
isotig03332,developmental processes
isotig02593,protein metabolism
isotig05447,other metabolic processes
GCKDGN103GOJBW,RNA metabolism
GCKDGN101B3RQF,other metabolic processes
GCKDGN101B5YBR,other biological processes
GCKDGN101B6LHL,other metabolic processes
isotig05473,cell organization and biogenesis
GCKDGN101A2PU8,other biological processes
isotig04920,transport
isotig10814,other metabolic processes
isotig01038,RNA metabolism
isotig13181,other metabolic processes
isotig30114,other biological processes
isotig23875,cell adhesion
isotig28825,transport
GCKDGN103F8WEI,RNA metabolism
isotig00552,transport
isotig13067,other biological processes
isotig08387,cell organization and biogenesis
GCKDGN103HCKJ0,developmental processes
isotig02873,RNA metabolism
isotig18561,developmental processes
isotig21603,cell cycle and proliferation
isotig18798,cell organization and biogenesis
isotig04659,RNA metabolism
isotig28438,other metabolic processes
GCKDGN101AXA70,other biological processes
isotig04518,other metabolic processes
isotig19227,signal transduction
GCKDGN101B29SR,cell organization and biogenesis
GE908267,DNA metabolism
GCKDGN102DRK4P,other biological processes
isotig26785,protein metabolism
isotig04032,other biological processes
isotig13976,death
GCKDGN101AZS11,RNA metabolism
isotig09415,signal transduction
isotig03861,stress response
isotig21315,other metabolic processes
isotig12452,other biological processes
isotig18307,DNA metabolism
isotig08372,cell cycle and proliferation
GCKDGN101CI7KG,other metabolic processes
isotig08796,DNA metabolism
isotig20731,other biological processes
isotig15317,death
isotig02214,death
isotig19923,other biological processes
GE912489,transport
isotig32078,cell-cell signaling
GCKDGN103HEUUH,cell adhesion
isotig09954,cell cycle and proliferation
isotig21400,protein metabolism
GCKDGN103G1RHN,other biological processes
GCKDGN103GLB1I,cell organization and biogenesis
isotig15110,developmental processes
isotig30095,cell organization and biogenesis
isotig18595,signal transduction
isotig29434,cell organization and biogenesis
isotig13486,transport
isotig03985,protein metabolism
GCKDGN101BV4TX,cell cycle and proliferation
isotig12080,cell organization and biogenesis
isotig14041,transport
isotig03631,cell-cell signaling
isotig20214,RNA metabolism
GCKDGN101A5QSY,other metabolic processes
isotig02187,cell adhesion
isotig20955,other biological processes
GCKDGN103FOQ13,RNA metabolism
isotig31840,other metabolic processes
isotig03606,signal transduction
isotig04538,transport
isotig14531,other biological processes
isotig18967,protein metabolism
isotig14609,RNA metabolism
isotig16930,cell organization and biogenesis
isotig20737,other metabolic processes
isotig07647,protein metabolism
GCKDGN102EA7J7,other biological processes
isotig03068,other biological processes
GCKDGN103FSES7,DNA metabolism
isotig03275,stress response
isotig14908,other metabolic processes
GCKDGN103GB7PS,RNA metabolism
isotig00764,stress response
GCKDGN102DY5G7,transport
isotig21911,cell organization and biogenesis
isotig27252,other metabolic processes
isotig21427,RNA metabolism
isotig21567,other metabolic processes
isotig20034,death
GCKDGN102EG3TN,protein metabolism
isotig00492,cell cycle and proliferation
isotig15746,developmental processes
isotig09512,death
isotig03240,other metabolic processes
isotig16773,other biological processes
GCKDGN103G20U9,other biological processes
isotig08192,signal transduction
isotig11220,other metabolic processes
isotig01126,stress response
