gi|379072747|gb|JR970416.1| 	 0.557002	 transport
gi|379072838|gb|JR970507.1| 	 0.339039	 RNA metabolism
gi|379072838|gb|JR970507.1| 	 0.339039	 cell organization and biogenesis
gi|379072838|gb|JR970507.1| 	 0.339039	 death
gi|379072840|gb|JR970509.1| 	 0.987611	 transport
gi|379072845|gb|JR970514.1| 	 0.298389	 other biological processes
gi|379072845|gb|JR970514.1| 	 0.298389	 other metabolic processes
gi|379072845|gb|JR970514.1| 	 0.298389	 protein metabolism
gi|379072849|gb|JR970518.1| 	 0.199622	 other metabolic processes
gi|379072858|gb|JR970527.1| 	 0.198543	 cell organization and biogenesis
gi|379072858|gb|JR970527.1| 	 0.198543	 other metabolic processes
gi|379072858|gb|JR970527.1| 	 0.198543	 protein metabolism
gi|379072858|gb|JR970527.1| 	 0.198543	 signal transduction
gi|379072859|gb|JR970528.1| 	 0.0360457	 other metabolic processes
gi|379072859|gb|JR970528.1| 	 0.0360457	 protein metabolism
gi|379072863|gb|JR970532.1| 	 0.658791	 DNA metabolism
gi|379072863|gb|JR970532.1| 	 0.658791	 cell cycle and proliferation
gi|379072863|gb|JR970532.1| 	 0.658791	 developmental processes
gi|379072863|gb|JR970532.1| 	 0.658791	 other biological processes
gi|379072863|gb|JR970532.1| 	 0.658791	 other metabolic processes
gi|379072863|gb|JR970532.1| 	 0.658791	 stress response
gi|379072869|gb|JR970538.1| 	 1.2117	 developmental processes
gi|379072869|gb|JR970538.1| 	 1.2117	 other biological processes
gi|379072869|gb|JR970538.1| 	 1.2117	 protein metabolism
gi|379072877|gb|JR970546.1| 	 1.44742	 other metabolic processes
gi|379072879|gb|JR970548.1| 	 2.3771	 RNA metabolism
gi|379072880|gb|JR970549.1| 	 0.147615	 other biological processes
gi|379072881|gb|JR970550.1| 	 0.127612	 RNA metabolism
gi|379072881|gb|JR970550.1| 	 0.127612	 protein metabolism
gi|379072882|gb|JR970551.1| 	 1.27245	 RNA metabolism
gi|379072883|gb|JR970552.1| 	 0.207231	 transport
gi|379072886|gb|JR970555.1| 	 0.11125	 stress response
gi|379072887|gb|JR970556.1| 	 0.119546	 other metabolic processes
gi|379072891|gb|JR970560.1| 	 0.123489	 RNA metabolism
gi|379072891|gb|JR970560.1| 	 0.123489	 cell organization and biogenesis
gi|379072895|gb|JR970564.1| 	 1.01615	 RNA metabolism
gi|379072895|gb|JR970564.1| 	 1.01615	 death
gi|379072899|gb|JR970568.1| 	 2.20527	 protein metabolism
gi|379072899|gb|JR970568.1| 	 2.20527	 transport
gi|379072901|gb|JR970570.1| 	 2.82945	 other metabolic processes
gi|379072903|gb|JR970572.1| 	 1.39152	 transport
gi|379072905|gb|JR970574.1| 	 0.275439	 other metabolic processes
gi|379072906|gb|JR970575.1| 	 0.148173	 other biological processes
gi|379072907|gb|JR970576.1| 	 0.176084	 cell cycle and proliferation
gi|379072907|gb|JR970576.1| 	 0.176084	 cell organization and biogenesis
gi|379072907|gb|JR970576.1| 	 0.176084	 other biological processes
gi|379072912|gb|JR970581.1| 	 0.260295	 cell organization and biogenesis
gi|379072912|gb|JR970581.1| 	 0.260295	 developmental processes
gi|379072912|gb|JR970581.1| 	 0.260295	 other biological processes
gi|379072912|gb|JR970581.1| 	 0.260295	 other metabolic processes
gi|379072912|gb|JR970581.1| 	 0.260295	 transport
gi|379072913|gb|JR970582.1| 	 0.700692	 cell organization and biogenesis
gi|379072919|gb|JR970588.1| 	 0.274732	 other metabolic processes
gi|379072920|gb|JR970589.1| 	 0.800154	 RNA metabolism
gi|379072920|gb|JR970589.1| 	 0.800154	 cell organization and biogenesis
gi|379072920|gb|JR970589.1| 	 0.800154	 other metabolic processes
gi|379072929|gb|JR970598.1| 	 0.105498	 cell adhesion
gi|379072930|gb|JR970599.1| 	 0.134181	 cell cycle and proliferation
gi|379072930|gb|JR970599.1| 	 0.134181	 cell organization and biogenesis
gi|379072930|gb|JR970599.1| 	 0.134181	 developmental processes
gi|379072930|gb|JR970599.1| 	 0.134181	 other biological processes
gi|379072930|gb|JR970599.1| 	 0.134181	 stress response
gi|379072930|gb|JR970599.1| 	 0.134181	 transport
gi|379072931|gb|JR970600.1| 	 0.21504	 cell organization and biogenesis
gi|379072931|gb|JR970600.1| 	 0.21504	 transport
gi|379072932|gb|JR970601.1| 	 0.356605	 other metabolic processes
gi|379072933|gb|JR970602.1| 	 0.253494	 RNA metabolism
gi|379072938|gb|JR970607.1| 	 0.227525	 RNA metabolism
gi|379072939|gb|JR970608.1| 	 0.585859	 death
gi|379072939|gb|JR970608.1| 	 0.585859	 developmental processes
gi|379072941|gb|JR970610.1| 	 0.672897	 developmental processes
gi|379072941|gb|JR970610.1| 	 0.672897	 signal transduction
gi|379072942|gb|JR970611.1| 	 0.354526	 other biological processes
gi|379072947|gb|JR970616.1| 	 0.221011	 other biological processes
gi|379072948|gb|JR970617.1| 	 0.143951	 cell cycle and proliferation
gi|379072948|gb|JR970617.1| 	 0.143951	 other metabolic processes
gi|379072948|gb|JR970617.1| 	 0.143951	 protein metabolism
gi|379072948|gb|JR970617.1| 	 0.143951	 signal transduction
gi|379072950|gb|JR970619.1| 	 0.145126	 DNA metabolism
gi|379072950|gb|JR970619.1| 	 0.145126	 RNA metabolism
gi|379072951|gb|JR970620.1| 	 3.55596	 RNA metabolism
gi|379072951|gb|JR970620.1| 	 3.55596	 cell organization and biogenesis
gi|379072951|gb|JR970620.1| 	 3.55596	 other biological processes
gi|379072951|gb|JR970620.1| 	 3.55596	 other metabolic processes
gi|379072953|gb|JR970622.1| 	 0.0910575	 signal transduction
gi|379072957|gb|JR970626.1| 	 2.66227	 cell cycle and proliferation
gi|379072957|gb|JR970626.1| 	 2.66227	 cell organization and biogenesis
gi|379072957|gb|JR970626.1| 	 2.66227	 other metabolic processes
gi|379072961|gb|JR970630.1| 	 2.8149	 other metabolic processes
gi|379072962|gb|JR970631.1| 	 0.430605	 cell organization and biogenesis
gi|379072962|gb|JR970631.1| 	 0.430605	 developmental processes
gi|379072962|gb|JR970631.1| 	 0.430605	 protein metabolism
gi|379072963|gb|JR970632.1| 	 0.0765153	 DNA metabolism
gi|379072966|gb|JR970635.1| 	 1.91162	 cell organization and biogenesis
gi|379072966|gb|JR970635.1| 	 1.91162	 developmental processes
gi|379072966|gb|JR970635.1| 	 1.91162	 transport
gi|379072967|gb|JR970636.1| 	 0.270816	 cell cycle and proliferation
gi|379072967|gb|JR970636.1| 	 0.270816	 death
gi|379072967|gb|JR970636.1| 	 0.270816	 other biological processes
gi|379072969|gb|JR970638.1| 	 4.22082	 RNA metabolism
gi|379072970|gb|JR970639.1| 	 1.83101	 other biological processes
gi|379072970|gb|JR970639.1| 	 1.83101	 other metabolic processes
gi|379072970|gb|JR970639.1| 	 1.83101	 stress response
gi|379072971|gb|JR970640.1| 	 2.20393	 other biological processes
gi|379072971|gb|JR970640.1| 	 2.20393	 protein metabolism
gi|379072971|gb|JR970640.1| 	 2.20393	 signal transduction
gi|379072972|gb|JR970641.1| 	 7.00682	 cell organization and biogenesis
gi|379072972|gb|JR970641.1| 	 7.00682	 other biological processes
gi|379072972|gb|JR970641.1| 	 7.00682	 other metabolic processes
gi|379072973|gb|JR970642.1| 	 1.48363	 other metabolic processes
gi|379072974|gb|JR970643.1| 	 1.55967	 other biological processes
gi|379072974|gb|JR970643.1| 	 1.55967	 other metabolic processes
gi|379072977|gb|JR970646.1| 	 2.08454	 other metabolic processes
gi|379072979|gb|JR970648.1| 	 0.259399	 RNA metabolism
gi|379072979|gb|JR970648.1| 	 0.259399	 cell adhesion
gi|379072979|gb|JR970648.1| 	 0.259399	 cell cycle and proliferation
gi|379072979|gb|JR970648.1| 	 0.259399	 cell organization and biogenesis
gi|379072979|gb|JR970648.1| 	 0.259399	 death
gi|379072979|gb|JR970648.1| 	 0.259399	 developmental processes
gi|379072979|gb|JR970648.1| 	 0.259399	 other biological processes
gi|379072979|gb|JR970648.1| 	 0.259399	 other metabolic processes
gi|379072979|gb|JR970648.1| 	 0.259399	 protein metabolism
gi|379072979|gb|JR970648.1| 	 0.259399	 signal transduction
gi|379072979|gb|JR970648.1| 	 0.259399	 stress response
gi|379072979|gb|JR970648.1| 	 0.259399	 transport
gi|379072980|gb|JR970649.1| 	 0.729716	 other metabolic processes
gi|379072981|gb|JR970650.1| 	 0.258489	 cell adhesion
gi|379072981|gb|JR970650.1| 	 0.258489	 cell organization and biogenesis
gi|379072981|gb|JR970650.1| 	 0.258489	 developmental processes
gi|379072981|gb|JR970650.1| 	 0.258489	 other biological processes
gi|379072981|gb|JR970650.1| 	 0.258489	 other metabolic processes
gi|379072981|gb|JR970650.1| 	 0.258489	 signal transduction
gi|379072981|gb|JR970650.1| 	 0.258489	 transport
gi|379072984|gb|JR970653.1| 	 1.56391	 cell cycle and proliferation
gi|379072984|gb|JR970653.1| 	 1.56391	 other metabolic processes
gi|379072984|gb|JR970653.1| 	 1.56391	 protein metabolism
gi|379072985|gb|JR970654.1| 	 2.27387	 RNA metabolism
gi|379072985|gb|JR970654.1| 	 2.27387	 cell cycle and proliferation
gi|379072985|gb|JR970654.1| 	 2.27387	 death
gi|379072985|gb|JR970654.1| 	 2.27387	 other biological processes
gi|379072985|gb|JR970654.1| 	 2.27387	 protein metabolism
gi|379072985|gb|JR970654.1| 	 2.27387	 signal transduction
gi|379072985|gb|JR970654.1| 	 2.27387	 stress response
gi|379072986|gb|JR970655.1| 	 7.34344	 protein metabolism
gi|379072987|gb|JR970656.1| 	 1.31764	 RNA metabolism
gi|379072987|gb|JR970656.1| 	 1.31764	 cell cycle and proliferation
gi|379072987|gb|JR970656.1| 	 1.31764	 developmental processes
gi|379072989|gb|JR970658.1| 	 0.925974	 protein metabolism
gi|379072990|gb|JR970659.1| 	 1.22715	 death
gi|379072991|gb|JR970660.1| 	 0.822043	 cell cycle and proliferation
gi|379072991|gb|JR970660.1| 	 0.822043	 other biological processes
gi|379072991|gb|JR970660.1| 	 0.822043	 other metabolic processes
gi|379072991|gb|JR970660.1| 	 0.822043	 protein metabolism
gi|379072991|gb|JR970660.1| 	 0.822043	 stress response
gi|379072992|gb|JR970661.1| 	 0.99086	 other biological processes
gi|379072992|gb|JR970661.1| 	 0.99086	 other metabolic processes
gi|379072992|gb|JR970661.1| 	 0.99086	 protein metabolism
gi|379072993|gb|JR970662.1| 	 0.0470898	 cell cycle and proliferation
gi|379072993|gb|JR970662.1| 	 0.0470898	 cell organization and biogenesis
gi|379072993|gb|JR970662.1| 	 0.0470898	 other biological processes
gi|379072996|gb|JR970665.1| 	 6.22628	 cell adhesion
gi|379072996|gb|JR970665.1| 	 6.22628	 cell organization and biogenesis
gi|379072996|gb|JR970665.1| 	 6.22628	 developmental processes
gi|379072997|gb|JR970666.1| 	 0.619492	 cell adhesion
gi|379072997|gb|JR970666.1| 	 0.619492	 cell cycle and proliferation
gi|379072997|gb|JR970666.1| 	 0.619492	 cell organization and biogenesis
gi|379072997|gb|JR970666.1| 	 0.619492	 developmental processes
gi|379072997|gb|JR970666.1| 	 0.619492	 other biological processes
gi|379073001|gb|JR970670.1| 	 23.6436	 cell organization and biogenesis
gi|379073001|gb|JR970670.1| 	 23.6436	 developmental processes
gi|379073001|gb|JR970670.1| 	 23.6436	 other biological processes
gi|379073002|gb|JR970671.1| 	 1.8416	 other biological processes
gi|379073004|gb|JR970673.1| 	 0.0421747	 other biological processes
gi|379073004|gb|JR970673.1| 	 0.0421747	 other metabolic processes
gi|379073004|gb|JR970673.1| 	 0.0421747	 protein metabolism
gi|379073004|gb|JR970673.1| 	 0.0421747	 signal transduction
gi|379073004|gb|JR970673.1| 	 0.0421747	 stress response
gi|379073008|gb|JR970677.1| 	 0.292945	 cell adhesion
gi|379073009|gb|JR970678.1| 	 0.170935	 cell cycle and proliferation
gi|379073009|gb|JR970678.1| 	 0.170935	 developmental processes
gi|379073009|gb|JR970678.1| 	 0.170935	 other biological processes
gi|379073010|gb|JR970679.1| 	 0.938105	 cell organization and biogenesis
gi|379073010|gb|JR970679.1| 	 0.938105	 developmental processes
gi|379073010|gb|JR970679.1| 	 0.938105	 other biological processes
gi|379073010|gb|JR970679.1| 	 0.938105	 other metabolic processes
gi|379073010|gb|JR970679.1| 	 0.938105	 protein metabolism
gi|379073010|gb|JR970679.1| 	 0.938105	 signal transduction
gi|379073012|gb|JR970681.1| 	 7.82036	 other biological processes
gi|379073018|gb|JR970687.1| 	 1.85851	 other biological processes
gi|379073020|gb|JR970689.1| 	 0.380937	 other metabolic processes
gi|379073021|gb|JR970690.1| 	 0.247129	 cell organization and biogenesis
gi|379073021|gb|JR970690.1| 	 0.247129	 other biological processes
gi|379073022|gb|JR970691.1| 	 0.35954	 RNA metabolism
gi|379073022|gb|JR970691.1| 	 0.35954	 other metabolic processes
gi|379073022|gb|JR970691.1| 	 0.35954	 signal transduction
gi|379073025|gb|JR970694.1| 	 0.581942	 other metabolic processes
gi|379073025|gb|JR970694.1| 	 0.581942	 signal transduction
gi|379073026|gb|JR970695.1| 	 0.118539	 other biological processes
gi|379073026|gb|JR970695.1| 	 0.118539	 transport
gi|379073027|gb|JR970696.1| 	 0.208355	 RNA metabolism
gi|379073027|gb|JR970696.1| 	 0.208355	 stress response
gi|379073038|gb|JR970707.1| 	 1.41936	 developmental processes
gi|379073040|gb|JR970709.1| 	 0.117314	 transport
gi|379073042|gb|JR970711.1| 	 0.173818	 signal transduction
gi|379073043|gb|JR970712.1| 	 0.424211	 other biological processes
gi|379073046|gb|JR970715.1| 	 0.49668	 other metabolic processes
gi|379073047|gb|JR970716.1| 	 0.923708	 RNA metabolism
gi|379073047|gb|JR970716.1| 	 0.923708	 cell organization and biogenesis
gi|379073047|gb|JR970716.1| 	 0.923708	 other metabolic processes
gi|379073048|gb|JR970717.1| 	 2.95158	 RNA metabolism
gi|379073048|gb|JR970717.1| 	 2.95158	 other biological processes
gi|379073050|gb|JR970719.1| 	 0.484602	 cell organization and biogenesis
gi|379073050|gb|JR970719.1| 	 0.484602	 developmental processes
gi|379073050|gb|JR970719.1| 	 0.484602	 signal transduction
gi|379073050|gb|JR970719.1| 	 0.484602	 transport
gi|379073051|gb|JR970720.1| 	 3.04843	 RNA metabolism
gi|379073051|gb|JR970720.1| 	 3.04843	 protein metabolism
gi|379073053|gb|JR970722.1| 	 0.519901	 RNA metabolism
gi|379073053|gb|JR970722.1| 	 0.519901	 developmental processes
gi|379073053|gb|JR970722.1| 	 0.519901	 signal transduction
gi|379073055|gb|JR970724.1| 	 0.26381	 RNA metabolism
gi|379073057|gb|JR970726.1| 	 0.0153158	 other biological processes
gi|379073057|gb|JR970726.1| 	 0.0153158	 signal transduction
gi|379073059|gb|JR970728.1| 	 0.397572	 cell organization and biogenesis
gi|379073059|gb|JR970728.1| 	 0.397572	 cell-cell signaling
gi|379073059|gb|JR970728.1| 	 0.397572	 other biological processes
gi|379073059|gb|JR970728.1| 	 0.397572	 transport
gi|379073060|gb|JR970729.1| 	 0.573346	 other biological processes
gi|379073060|gb|JR970729.1| 	 0.573346	 stress response
gi|379073060|gb|JR970729.1| 	 0.573346	 transport
gi|379073061|gb|JR970730.1| 	 1.61398	 other biological processes
gi|379073062|gb|JR970731.1| 	 2.2546	 protein metabolism
gi|379073062|gb|JR970731.1| 	 2.2546	 signal transduction
gi|379073063|gb|JR970732.1| 	 1.00892	 cell cycle and proliferation
gi|379073063|gb|JR970732.1| 	 1.00892	 other biological processes
gi|379073063|gb|JR970732.1| 	 1.00892	 protein metabolism
gi|379073063|gb|JR970732.1| 	 1.00892	 signal transduction
gi|379073063|gb|JR970732.1| 	 1.00892	 stress response
gi|379073063|gb|JR970732.1| 	 1.00892	 transport
gi|379073064|gb|JR970733.1| 	 0.750867	 other biological processes
gi|379073064|gb|JR970733.1| 	 0.750867	 other metabolic processes
gi|379073064|gb|JR970733.1| 	 0.750867	 stress response
gi|379073064|gb|JR970733.1| 	 0.750867	 transport
gi|379073069|gb|JR970738.1| 	 1.6747	 cell-cell signaling
gi|379073069|gb|JR970738.1| 	 1.6747	 other biological processes
gi|379073069|gb|JR970738.1| 	 1.6747	 signal transduction
gi|379073069|gb|JR970738.1| 	 1.6747	 transport
gi|379073070|gb|JR970739.1| 	 2.96	 RNA metabolism
gi|379073070|gb|JR970739.1| 	 2.96	 other biological processes
gi|379073070|gb|JR970739.1| 	 2.96	 signal transduction
gi|379073071|gb|JR970740.1| 	 2.23693	 other metabolic processes
gi|379073071|gb|JR970740.1| 	 2.23693	 transport
gi|379073082|gb|JR970751.1| 	 1.57541	 other biological processes
gi|379073085|gb|JR970754.1| 	 1.0171	 RNA metabolism
gi|379073085|gb|JR970754.1| 	 1.0171	 cell organization and biogenesis
gi|379073085|gb|JR970754.1| 	 1.0171	 death
gi|379073085|gb|JR970754.1| 	 1.0171	 developmental processes
gi|379073085|gb|JR970754.1| 	 1.0171	 other biological processes
gi|379073085|gb|JR970754.1| 	 1.0171	 other metabolic processes
gi|379073085|gb|JR970754.1| 	 1.0171	 protein metabolism
gi|379073085|gb|JR970754.1| 	 1.0171	 signal transduction
gi|379073085|gb|JR970754.1| 	 1.0171	 stress response
gi|379073094|gb|JR970763.1| 	 0.841258	 other biological processes
gi|379073094|gb|JR970763.1| 	 0.841258	 other metabolic processes
gi|379073094|gb|JR970763.1| 	 0.841258	 signal transduction
gi|379073107|gb|JR970776.1| 	 0.0992898	 cell cycle and proliferation
gi|379073107|gb|JR970776.1| 	 0.0992898	 developmental processes
gi|379073107|gb|JR970776.1| 	 0.0992898	 signal transduction
gi|379073114|gb|JR970783.1| 	 7.09725	 RNA metabolism
gi|379073114|gb|JR970783.1| 	 7.09725	 developmental processes
gi|379073114|gb|JR970783.1| 	 7.09725	 other biological processes
gi|379073118|gb|JR970787.1| 	 6.38883	 signal transduction
gi|379073118|gb|JR970787.1| 	 6.38883	 transport
gi|379073122|gb|JR970791.1| 	 3.25365	 other metabolic processes
gi|379073124|gb|JR970793.1| 	 2.92897	 cell cycle and proliferation
gi|379073124|gb|JR970793.1| 	 2.92897	 cell organization and biogenesis
gi|379073124|gb|JR970793.1| 	 2.92897	 other biological processes
gi|379073124|gb|JR970793.1| 	 2.92897	 stress response
gi|379073125|gb|JR970794.1| 	 3.20557	 transport
gi|379073126|gb|JR970795.1| 	 6.32651	 protein metabolism
gi|379073129|gb|JR970798.1| 	 2.09289	 cell organization and biogenesis
gi|379073129|gb|JR970798.1| 	 2.09289	 cell-cell signaling
gi|379073129|gb|JR970798.1| 	 2.09289	 developmental processes
gi|379073129|gb|JR970798.1| 	 2.09289	 transport
gi|379073131|gb|JR970800.1| 	 0.632658	 other biological processes
gi|379073133|gb|JR970802.1| 	 1.11556	 DNA metabolism
gi|379073133|gb|JR970802.1| 	 1.11556	 stress response
gi|379073134|gb|JR970803.1| 	 1.17586	 other metabolic processes
gi|379073134|gb|JR970803.1| 	 1.17586	 protein metabolism
gi|379073134|gb|JR970803.1| 	 1.17586	 transport
gi|379073136|gb|JR970805.1| 	 0.44573	 stress response
gi|379073136|gb|JR970805.1| 	 0.44573	 transport
gi|379073137|gb|JR970806.1| 	 1.80441	 cell organization and biogenesis
gi|379073137|gb|JR970806.1| 	 1.80441	 developmental processes
gi|379073137|gb|JR970806.1| 	 1.80441	 other biological processes
gi|379073137|gb|JR970806.1| 	 1.80441	 other metabolic processes
gi|379073137|gb|JR970806.1| 	 1.80441	 signal transduction
gi|379073137|gb|JR970806.1| 	 1.80441	 transport
gi|379073138|gb|JR970807.1| 	 0.533681	 cell cycle and proliferation
gi|379073138|gb|JR970807.1| 	 0.533681	 death
gi|379073138|gb|JR970807.1| 	 0.533681	 developmental processes
gi|379073138|gb|JR970807.1| 	 0.533681	 other metabolic processes
gi|379073138|gb|JR970807.1| 	 0.533681	 protein metabolism
gi|379073140|gb|JR970809.1| 	 0.0395368	 other metabolic processes
gi|379073143|gb|JR970812.1| 	 0.78783	 other biological processes
gi|379073143|gb|JR970812.1| 	 0.78783	 other metabolic processes
gi|379073144|gb|JR970813.1| 	 0.200515	 other biological processes
gi|379073144|gb|JR970813.1| 	 0.200515	 transport
gi|379073145|gb|JR970814.1| 	 0.418242	 other metabolic processes
gi|379073146|gb|JR970815.1| 	 2.01222	 RNA metabolism
gi|379073146|gb|JR970815.1| 	 2.01222	 cell organization and biogenesis
gi|379073146|gb|JR970815.1| 	 2.01222	 developmental processes
gi|379073147|gb|JR970816.1| 	 0.214599	 other metabolic processes
gi|379073149|gb|JR970818.1| 	 1.83238	 RNA metabolism
gi|379073149|gb|JR970818.1| 	 1.83238	 other biological processes
gi|379073162|gb|JR970831.1| 	 0.0856657	 cell adhesion
gi|379073165|gb|JR970834.1| 	 0.0771404	 other metabolic processes
gi|379073165|gb|JR970834.1| 	 0.0771404	 transport
gi|379073169|gb|JR970838.1| 	 3.00034	 other biological processes
gi|379073170|gb|JR970839.1| 	 0.549127	 RNA metabolism
gi|379073170|gb|JR970839.1| 	 0.549127	 other metabolic processes
gi|379073174|gb|JR970843.1| 	 0.0684374	 developmental processes
gi|379073174|gb|JR970843.1| 	 0.0684374	 other biological processes
gi|379073174|gb|JR970843.1| 	 0.0684374	 protein metabolism
gi|379073180|gb|JR970849.1| 	 0.301621	 transport
gi|379073192|gb|JR970861.1| 	 0.0975227	 DNA metabolism
gi|379073192|gb|JR970861.1| 	 0.0975227	 other biological processes
gi|379073192|gb|JR970861.1| 	 0.0975227	 stress response
gi|379073194|gb|JR970863.1| 	 0.675659	 DNA metabolism
gi|379073201|gb|JR970870.1| 	 1.91586	 other metabolic processes
gi|379073205|gb|JR970874.1| 	 1.00102	 RNA metabolism
gi|379073205|gb|JR970874.1| 	 1.00102	 developmental processes
gi|379073213|gb|JR970882.1| 	 0.995333	 DNA metabolism
